id,script,inflection,comment
0,sfx - silence,,
1,platform,s,
2,platform,"m,e",
3,for,m,
4,service to,m,
5,service from,m,
6,calling at,m,
7,and,m,
8,passengers for,s,
9,should change at,m,
10,a trolley service,s,
11,of drinks and light refreshments,m,
12,is available,e,
13,is available on this train,e,
14,please note that,s,
15,this train,m,
16,will not call at,m,
17,will be diverted via,m,
18,there will be a special bus service in operation,s,
19,between,m,
20,this train,e,
21,the train at,s,
22,customers for,s,
23,we are sorry to announce that,m,
24,is delayed,m,
25,the,"s,e",
26,to,m,
27,is delayed by approximately,m,
28,minutes,e,
29,we apologise for the inconvenience caused,w,
30,please listen for further announcements,w,
31,due to,m,
32,a staff shortage,e,
33,a points failure,e,
34,signalling difficulties,e,
35,the late arrival of an incoming train,e,
36,bad weather conditions,e,
37,engineering works,e,
38,vandalism,e,
39,a train failure,e,
40,overhead electric line problems,e,
41,a signalling apparatus failure,e,
42,mechanical problems,e,
43,trespass on the line,e,
44,an incident on the line,e,
45,suspected damage to a railway bridge,e,
46,cancellation of the incoming service,e,
47,adverse weather conditions,e,
48,attention please,s,
49,here is a special announcement,m,
50,for reasons of security,m,
51,we are having to close the station,m,
52,would all passengers kindly leave the station,m,
53,as quickly and as orderly as possible,m,
54,by the nearest available exit,m,
55,please take your luggage with you,m,
56,and ensure that you keep it with you,m,
57,there is no cause for panic,m,
58,i repeat,m,
59,please do not leave cases or parcels,m,
60,unattended anywhere on the station,m,
61,any unattended articles are likely to be removed,m,
62,without warning,e,
63,the next service is at,s,
64,stand clear of the doors at,s,
65,this train is ready to leave,e,
66,the coach link,m,
67,coach link service to,m,
68,bus service to,m,
69,rail air coach service to,m,
70,minutes,m,
71,for the (ee),m,
72,for the (uh),m,
73,this train is,s,
74,arrival at,m,
75,are subject to delay and possible cancellation,"m,e",
76,"testing, testing",s,
77,"1, 2, 3",m,
78,"4, 5, 6",m,
79,"7, 8",m,
80,"9, 10",e,
81,fast to,m,
82,where the train will divide,e,
83,please make sure you travel,s,
84,in the correct part of this train,e,
85,"southampton central, this is southampton central",w,
86,all stations to,,
87,stations to,m,
88,terminates here,e,
89,must travel in,m,
90,please travel in,m,
91,coaches,e,
92,coaches,m,
93,all services to,s,
94,only,m,
95,only,e,
96,then,m,
97,all services to and from,s,
98,the front,m,
99,the middle,m,
100,the rear,m,
101,the front portion,m,
102,the middle portion,m,
103,the rear portion,m,
104,all services from,s,
105,please remain on the station concourse,s,
106,until your train is announced,m,
107,or displayed on the indicator,e,
108,because of delays to services today,s,
109,passengers are requested to,m,
110,remain on the station concourse,m,
111,until their train is announced,m,
112,until called forward through the ticket barrier,e,
113,for each departure,e,
114,the station subway is closed today,s,
115,the station footbridge is closed today,s,
116,will all passengers please use,s,
117,the subway,m,
118,the footbridge,m,
119,to cross the station,e,
120,the train now approaching,s,
121,for essential maintenance,e,
122,should change here,e,
123,this is a platform alteration,w,
124,should remain on,m,
125,should cross to,m,
127,via,m,
128,delayed,m,
129,has been cancelled,e,
130,a fatality,m,
131,a broken down train,e,
132,a staff shortage,m,
133,a points failure,m,
